"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"92","D. leporina","camera only","Warapata","pa_cam ~ bloque | cam",-14.2663643071892,8,57,47.5327286143784,"pa_cam ~ bsq + frs | cam",-17.3553043118283,5,57,45.8870792118918,1.64564940248656
"93","D. marsupialis","camera only","Warapata","pa_cam ~ bloque | cam",-2.77278622637466,8,57,24.5455724527493,"pa_cam ~ bsq + frs | cam",-5.15554845648457,5,57,21.4875675012044,3.05800495154491
"94","D. novemcinctus","camera only","Warapata","pa_cam ~ bloque | cam",-25.5867287583172,8,57,70.1734575166344,"pa_cam ~ bsq + frs | cam",-25.4290829189523,5,57,62.0346364261399,8.13882109049455
"95","E. barbara","camera only","Warapata","pa_cam ~ bloque | cam",-17.7328716685977,8,57,54.4657433371954,NA,NA,NA,NA,NA,NA
"96","H. hydrochaeris","camera only","Warapata","pa_cam ~ bloque | cam",-3.81910153990779,8,57,26.6382030798156,"pa_cam ~ bsq + dbsq | cam",-6.58887690886696,5,57,24.3542244059692,2.28397867384635
"97","L. pardalis","camera only","Warapata","pa_cam ~ bloque | cam",-14.3924867344382,8,57,47.7849734688764,"pa_cam ~ bsq + dcom | cam",-16.1298897451802,5,57,43.4362500785957,4.34872339028072
"98","L. rufaxilla","camera only","Warapata","pa_cam ~ bloque | cam",-18.4870769361357,8,57,55.9741538722714,NA,NA,NA,NA,NA,NA
"99","L. wiedii","camera only","Warapata","pa_cam ~ bloque | cam",-4.02639736658931,8,57,27.0527947331786,"pa_cam ~ bsq + dcom | cam",-6.39020228143139,5,57,23.9568751510981,3.09591958208054
"100","M. americana","camera only","Warapata","pa_cam ~ bloque | cam",-19.5368449219779,8,57,58.0736898439557,"pa_cam ~ bsq + frs | cam",-18.0479202874727,5,57,47.2723111631808,10.8013786807749
"101","M. gouazoubira","camera only","Warapata","pa_cam ~ bloque | cam",-12.7208061860199,8,57,44.4416123720399,"pa_cam ~ bsq + dcon + frs + dbsq | cam",-9.18586482845052,7,57,34.6574439426153,9.78416842942455
"102","M. tridactyla","camera only","Warapata","pa_cam ~ bloque | cam",-22.3654951621835,8,57,63.730990324367,"pa_cam ~ bsq + frs | cam",-22.9765064776427,5,57,57.1294835435207,6.60150678084636
"103","N. nasua","camera only","Warapata","pa_cam ~ bloque | cam",-3.28700279662715,8,57,25.5740055932543,NA,NA,NA,NA,NA,NA
"104","O. virginianus","camera only","Warapata","pa_cam ~ bloque | cam",-6.69053685271969,8,57,32.3810737054394,"pa_cam ~ bsq + dbsq | cam",-7.9644009156906,5,57,27.1052724196165,5.27580128582288
"105","P. concolor","camera only","Warapata","pa_cam ~ bloque | cam",-11.1904876972241,8,57,41.3809753944481,"pa_cam ~ bsq + dbsq | cam",-13.0618982991681,5,57,37.3002671865714,4.08070820787673
"106","P. maximus","camera only","Warapata","pa_cam ~ bloque | cam",-10.4241169035036,8,57,39.8482338070071,"pa_cam ~ bsq + dcom | cam",-8.46678737628023,5,57,28.1100453407958,11.7381884662114
"107","P. onca","camera only","Warapata","pa_cam ~ bloque | cam",-14.6507828750986,8,57,48.3015657501972,NA,NA,NA,NA,NA,NA
"108","P. tajacu","camera only","Warapata","pa_cam ~ bloque | cam",-5.0490535871686,8,57,29.0981071743372,NA,NA,NA,NA,NA,NA
"109","T. major","camera only","Warapata","pa_cam ~ bloque | cam",-12.9842383871258,8,57,44.9684767742516,"pa_cam ~ bsq + dbsq | cam",-15.7523791503425,5,57,42.6812288889203,2.2872478853313
"110","T. pecari","camera only","Warapata","pa_cam ~ bloque | cam",-1.91952789538326,8,57,22.8390557907665,"pa_cam ~ bsq + dcom | cam",-4.16706397057493,5,57,19.5105985293851,3.32845726138138
"111","T. terrestris","camera only","Warapata","pa_cam ~ bloque | cam",-10.1314285717619,8,57,39.2628571435239,NA,NA,NA,NA,NA,NA
"112","T. tetradactyla","camera only","Warapata","pa_cam ~ bloque | cam",-9.84367693893249,8,57,38.687353877865,"pa_cam ~ bsq + dcon + frs | cam",-11.0289752594282,6,57,35.7379505188564,2.94940335900861
